timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,tempMPU,IR,Red,BPM,DS1
4396841127,184,628,16104,-299,-37,-221,35.92,614,215,0.00,32.00
4397466215,280,680,16096,-298,-27,-237,35.92,199,602,0.76,32.00
4397499486,244,636,16188,-292,-10,-203,35.92,193,912,0.00,32.00
4398124567,272,628,15980,-305,-47,-239,35.92,832,1721,0.00,32.00
4398159042,192,564,16216,-326,-21,-197,35.82,1076,1540,0.00,32.00
4398784114,320,704,16120,-326,-31,-238,35.87,1677,624,0.00,32.00
4398817397,196,740,16116,-302,-18,-219,35.87,1496,621,0.74,32.00
4399442482,180,620,16104,-313,-19,-231,35.82,526,355,0.00,32.00
4399475767,236,644,15884,-328,-17,-214,35.92,589,241,0.00,32.00
4400100829,212,684,16088,-292,-7,-201,35.87,248,87,0.78,32.00
4400135310,252,684,16212,-316,-23,-210,35.92,230,112,0.00,32.00
4400760368,256,740,16040,-296,-22,-234,35.82,110,1612,0.00,32.00
4400793642,148,704,16072,-286,-46,-221,35.87,144,1730,0.00,32.00
4401418717,248,716,16152,-298,1,-222,35.87,1558,595,0.00,32.00
4401451992,252,692,16072,-274,-6,-218,35.78,1736,573,0.00,32.00
4402077106,196,560,16060,-295,-54,-220,35.82,596,553,0.51,32.00
4402111586,244,712,16080,-297,5,-250,35.82,564,553,0.00,32.00
4402736646,156,676,16104,-304,-39,-232,35.92,550,112,0.00,32.00
4402769910,184,576,16160,-295,-24,-231,35.87,579,106,0.00,32.00
4403394980,208,636,16304,-304,-24,-252,35.82,99,1610,0.76,32.00
4403428248,164,736,16160,-304,-10,-243,35.92,88,1565,0.00,32.00
4404053316,260,584,16208,-315,-41,-221,35.92,77,600,0.00,32.00
4404087812,248,616,15980,-317,-35,-218,35.87,1546,598,0.00,32.00
4404712889,248,660,16124,-300,-41,-233,35.78,581,581,0.76,32.00
4404746163,180,568,16136,-302,-43,-248,35.92,618,608,0.00,32.00
4405371257,204,672,16076,-311,-22,-233,35.92,527,144,1.52,32.00
4405404534,148,724,16080,-302,-38,-248,35.82,571,128,0.00,32.00
4406029589,172,600,16088,-283,-39,-224,35.82,146,1694,1.52,32.00
4406064067,208,712,16084,-298,-35,-221,35.92,130,1674,0.00,32.00
4406689142,308,708,16144,-334,-2,-207,35.82,1654,650,0.00,32.00
4406722426,164,660,16028,-299,-18,-236,35.92,1653,643,1.43,32.00
4407347511,184,700,16092,-324,-10,-211,35.97,569,575,0.00,32.00
4407380786,220,644,16088,-311,-10,-227,35.87,610,552,0.00,31.94
4408005868,204,640,16032,-306,-29,-204,35.92,582,174,0.78,31.94
4408040351,180,740,16016,-305,-14,-225,35.82,569,158,0.00,32.00
4408665411,292,564,16040,-289,-32,-233,35.78,159,1454,0.00,32.00
4408698689,172,652,16160,-289,-34,-223,35.87,170,1593,0.00,32.00
4409323772,276,588,16068,-300,-16,-207,35.87,1528,852,0.00,32.00
4409357050,164,644,16024,-296,-20,-212,35.97,1640,700,0.00,32.00
4409982120,244,628,16200,-289,-42,-230,35.82,756,581,0.51,32.00
4410016622,308,652,16060,-314,4,-230,35.82,674,589,0.00,32.00
4410641690,196,756,16024,-300,-37,-209,35.82,560,216,0.00,32.00
4410674950,224,692,16108,-298,-23,-224,35.87,590,197,0.00,32.00
4411300006,248,704,16136,-303,-21,-215,35.92,157,768,0.76,32.00
4411334501,240,636,16112,-299,-16,-211,35.87,167,1058,0.00,32.00
4411959551,256,640,16052,-314,-15,-219,35.78,1124,1578,0.00,32.00
4411992822,160,700,16060,-285,9,-222,35.92,1339,1251,0.00,32.00
4412617882,176,648,16168,-285,-30,-226,35.82,1092,574,0.76,32.00
4412651167,216,708,16184,-280,2,-231,35.87,902,593,0.00,32.00
4413276233,124,620,16288,-298,-22,-219,35.87,560,207,0.00,32.00
4413310721,160,584,16056,-278,-30,-226,35.92,562,195,0.00,31.94
4413935785,248,708,16152,-322,-8,-221,35.87,209,584,0.76,31.94
4413969063,228,568,16132,-303,-31,-232,35.87,204,793,0.00,32.00
4414594147,240,540,16132,-316,-17,-219,35.87,189,1697,0.00,32.00
4414627432,200,596,16180,-307,-16,-213,35.87,1192,1431,0.00,32.00
4415252492,296,600,16032,-295,3,-237,35.73,1304,564,0.00,32.00
4415286959,208,624,16088,-306,-18,-200,35.87,1062,544,0.74,32.00
4415912029,236,684,16180,-311,-26,-225,35.87,579,299,0.00,32.00
4415945294,40,680,16180,-313,-24,-212,35.87,587,244,0.00,32.00
4416570372,324,728,16128,-317,-26,-240,35.82,185,178,0.78,32.00
4416603637,228,724,16136,-317,-37,-244,35.82,203,520,0.00,32.00
4417228726,224,592,16064,-301,-32,-219,35.82,509,1824,0.00,32.00
4417261977,284,688,16104,-296,-3,-229,35.87,821,1696,0.00,32.00
4417887142,236,596,15916,-306,-6,-209,35.82,1727,567,0.00,32.00
4417921615,244,684,16168,-296,9,-227,35.82,1478,580,0.74,32.00
4418546693,300,728,16152,-316,-22,-232,35.87,573,281,0.00,32.00
4418579965,276,592,16240,-291,-23,-215,35.82,621,261,0.00,32.00
4419205023,256,652,16224,-325,-9,-214,35.82,238,127,0.78,32.00
4419238287,260,536,16160,-295,19,-222,35.92,234,129,0.00,32.00
4419863350,284,688,16064,-324,-43,-221,35.92,115,1678,0.00,32.00
4419897846,240,776,16124,-333,-28,-227,35.82,208,1798,0.00,32.00
4420522905,292,660,16116,-290,-18,-226,35.92,1824,675,0.00,32.00
4420556184,300,540,16200,-305,-26,-218,35.87,1866,623,0.00,32.00
4421181241,156,636,16080,-322,-18,-233,35.82,548,541,0.51,32.00
4421214509,280,572,16264,-293,-15,-230,35.82,590,473,0.00,32.00
4421839598,240,712,16088,-302,-30,-235,35.82,437,63,1.52,32.00
4421874076,256,692,16116,-314,-34,-236,35.78,274,80,0.00,32.00
4422499138,300,676,16184,-283,-21,-196,35.87,98,1645,0.00,32.00
4422532407,200,712,16064,-305,-42,-203,35.87,126,1564,0.00,32.00
4423157478,212,636,16468,-301,-36,-238,35.78,1515,598,0.00,32.00
4423190741,176,624,16180,-328,-21,-194,35.87,1621,614,0.00,32.00
4423815808,292,612,16040,-275,-25,-214,35.92,564,543,0.51,32.00
4423850291,252,676,16044,-307,-3,-228,35.82,585,539,0.00,32.00
4424475370,208,692,16008,-284,-28,-234,35.87,572,147,1.52,32.00
4424508655,132,584,16172,-297,-18,-256,35.82,573,108,0.00,32.00
4425133712,264,720,16064,-311,-28,-217,35.97,117,1663,1.52,32.00
4425166983,292,652,16164,-284,-12,-203,35.73,113,1636,0.00,32.00
4425792063,172,732,16168,-296,-39,-241,35.78,1600,603,0.00,32.00
4425825336,228,656,16156,-283,-35,-219,35.87,1588,572,1.43,32.00
4426450502,144,688,16120,-328,-10,-215,35.82,620,577,0.00,32.00
4426484981,216,560,16104,-314,-41,-201,35.82,595,577,0.00,32.00
4427110043,168,668,16152,-292,-16,-220,35.73,545,182,0.00,32.00
4427143321,208,724,16092,-295,-33,-216,35.92,591,168,0.00,32.00
4427768390,136,624,16068,-319,-1,-213,35.97,126,1311,0.52,32.00
4427802870,276,572,16108,-297,-17,-233,35.87,153,1498,0.00,32.00
4428427927,292,704,16144,-295,-20,-208,35.87,1531,1006,0.00,32.00
4428461210,184,620,16232,-297,-8,-219,35.78,1649,767,0.00,32.00
4429086287,108,632,16020,-309,-36,-223,35.87,707,568,0.76,32.00
4429119550,240,708,15984,-296,-32,-239,35.73,670,583,0.00,31.94
4429744625,228,704,16192,-316,-31,-231,35.82,559,186,0.00,31.94
4429779111,244,692,16080,-322,-54,-242,35.87,570,172,0.00,31.94
4430404173,132,588,16056,-308,-26,-197,35.82,185,1070,0.76,31.94
4430437440,128,644,15980,-297,-29,-226,35.92,184,1257,0.00,32.00
4431062508,184,700,16096,-315,-25,-229,35.82,1374,1053,0.00,32.00
4431095782,168,556,16096,-306,1,-212,35.82,1567,844,0.00,32.00
4431720839,172,564,16252,-289,-28,-235,35.82,695,549,0.76,32.00
4431755338,144,724,16228,-307,-26,-234,35.82,629,547,0.00,32.00
4432380414,140,596,16396,-277,-27,-213,35.78,576,265,0.00,32.00
4432413707,124,676,16268,-328,-1,-211,35.87,607,201,0.00,32.00
4433038762,216,636,16044,-302,-21,-216,35.68,113,1356,0.76,32.00
4433072040,292,668,16040,-294,-18,-225,35.68,150,1536,0.00,32.00
4433697111,340,696,16136,-302,-27,-219,35.82,1606,726,0.00,32.00
4433731611,148,604,16236,-307,-24,-227,35.82,1652,650,0.00,32.00
4434356673,248,628,16252,-303,-7,-235,35.78,620,621,0.76,32.00
4434389940,196,760,16160,-317,-11,-224,35.73,644,596,0.00,31.94
4435015020,96,676,16044,-283,-26,-231,35.68,520,173,1.52,31.94
4435048321,312,756,16216,-320,-17,-228,35.73,579,172,0.00,31.94
4435673400,300,700,16120,-294,-29,-208,35.78,152,1621,1.52,31.94
4435707892,292,644,16120,-314,-9,-215,35.82,120,1672,0.00,31.94
4436332968,324,628,16108,-302,-36,-218,35.73,1608,701,0.00,31.94
4436366233,252,564,16064,-297,-4,-254,35.73,1605,630,1.43,31.94
4436991302,240,672,16028,-304,-18,-214,35.73,553,573,0.00,31.94
4437024567,204,620,16136,-310,-27,-216,35.73,602,581,0.00,31.94
4437649642,176,588,16116,-312,-44,-219,35.78,547,102,0.78,31.94
4437684152,240,668,16212,-304,-11,-217,35.68,538,88,0.00,32.00
4438309227,288,716,16068,-289,-16,-209,35.82,86,1666,0.00,32.00
4438342516,160,716,16112,-330,-38,-233,35.68,112,1576,0.00,31.94
4438967576,72,636,16040,-280,-6,-235,35.68,1583,574,0.00,31.94
4439000841,248,684,15964,-303,-10,-207,35.78,1769,597,0.00,32.00
4439625900,248,632,16008,-286,-26,-222,35.82,569,492,0.51,32.00
4439660387,216,616,16080,-292,-27,-226,35.73,570,335,0.00,31.94
4440285458,192,584,16020,-286,-17,-226,35.73,238,140,1.52,31.94
4440318719,196,688,16036,-287,-19,-234,35.82,212,134,0.00,31.94
4440943800,168,608,16156,-281,-27,-218,35.78,839,1738,0.00,31.94
4440977088,284,660,16036,-275,-26,-221,35.78,1165,1492,0.00,31.94
4441602172,220,776,16136,-303,-12,-254,35.68,841,587,0.76,31.94
4441635447,260,676,16100,-291,-28,-231,35.78,734,557,0.00,31.94
4442260530,104,648,16164,-305,-19,-219,35.78,596,191,0.00,31.94
4442295009,236,652,16048,-282,-1,-219,35.73,555,174,0.00,31.94
4442920095,272,752,15956,-319,-24,-220,35.73,146,1602,0.00,31.94
4442953364,160,652,15992,-293,-22,-226,35.73,149,1706,0.00,31.94
4443578427,212,688,16084,-318,-31,-227,35.82,1553,614,0.00,31.94
4443611711,180,688,16088,-330,-20,-232,35.78,1594,598,0.00,31.94
4444236780,300,660,16160,-301,-9,-209,35.73,599,549,0.38,31.94
4444271266,116,596,16032,-309,-32,-225,35.73,576,547,0.00,32.00
4444896351,280,584,16048,-309,-28,-231,35.68,566,132,0.00,32.00
4444929615,232,624,16088,-314,-35,-258,35.78,591,124,0.00,31.94
4445554682,188,716,16124,-292,-51,-236,35.73,90,1572,0.76,31.94
4445587959,208,660,16176,-281,-12,-223,35.78,107,1513,0.00,31.94
4446213043,272,644,16096,-278,-32,-235,35.73,1761,576,0.00,31.94
4446247521,200,704,15992,-324,-33,-221,35.73,1833,571,0.00,31.94
4446872586,316,604,16104,-311,-39,-230,35.78,581,317,0.76,31.94
4446905881,136,636,16072,-294,-48,-219,35.78,608,259,0.00,31.94
4447530954,208,660,16012,-292,-11,-238,35.68,145,366,1.52,31.94
4447564225,268,680,16120,-317,-42,-209,35.82,201,780,0.00,31.94
4448189287,244,628,16092,-321,-25,-211,35.78,1406,998,0.00,31.94
4448223799,164,700,16120,-305,-14,-221,35.87,1545,786,0.00,31.94
4448848913,300,616,16104,-297,-28,-226,35.68,620,671,0.76,31.94
4448882184,288,588,16044,-294,-8,-217,35.73,642,606,0.00,31.94
4449507248,212,624,16184,-312,-30,-250,35.73,532,144,1.52,31.94
4449540518,168,632,16168,-288,-30,-216,35.78,577,144,0.00,31.94
4450165591,244,624,16056,-291,-5,-221,35.68,85,1572,1.52,31.94
4450200090,148,684,15940,-308,-37,-212,35.73,84,1526,0.00,32.00
4450825163,192,788,16144,-301,-19,-238,35.82,1697,668,0.00,32.00
4450858413,244,628,16168,-326,-27,-195,35.73,1848,605,0.00,31.94
4451483498,296,692,15972,-300,-30,-231,35.73,537,279,0.76,31.94
4451516795,244,632,16112,-320,-31,-209,35.82,584,236,0.00,31.94
4452141864,208,656,16068,-313,2,-231,35.78,184,499,1.52,31.94
4452176355,260,728,16152,-309,-53,-238,35.68,175,863,0.00,31.94
4452801432,116,680,16100,-300,-6,-220,35.78,1495,993,0.00,31.94
4452834702,160,664,16036,-302,-41,-231,35.73,1683,763,0.00,31.94
4453459777,244,740,16188,-298,-19,-215,35.73,570,564,0.76,31.94
4453493053,180,584,16148,-279,-35,-231,35.78,618,583,0.00,31.94
4454118168,208,636,16160,-316,-33,-213,35.68,554,119,1.52,31.94
4454152644,224,656,16100,-309,-32,-228,35.73,559,96,0.00,31.94
4454777702,196,672,16044,-320,-36,-218,35.82,98,1635,1.52,31.94
4454810972,284,708,16148,-278,-4,-222,35.78,108,1604,0.00,31.94
4455436050,132,584,15984,-320,-24,-244,35.78,1806,592,0.00,31.94
4455469334,232,704,16076,-303,-24,-233,35.78,1698,614,1.43,31.94
4456094424,284,592,16040,-303,-20,-224,35.78,536,227,0.00,31.94
4456127711,280,684,15988,-264,-9,-218,35.82,580,206,0.00,31.94
4456752765,180,780,16320,-265,-33,-211,35.87,190,1060,0.78,31.94
4456787244,248,632,16176,-317,-22,-206,35.82,168,1292,0.00,32.00
4457412321,172,588,16152,-302,-17,-218,35.73,1647,748,0.00,32.00
4457445584,288,608,15916,-306,-49,-236,35.73,1691,691,0.00,31.94
4458070665,140,612,16116,-302,-19,-233,35.73,559,576,0.76,31.94
4458103936,208,704,16132,-322,-25,-233,35.73,609,562,0.00,31.94
4458729025,260,676,16132,-280,-39,-238,35.82,586,136,1.52,31.94
4458763517,176,636,16128,-323,-26,-218,35.78,548,120,0.00,31.94
4459388592,228,508,16172,-319,-8,-218,35.73,114,1678,0.00,31.94
4459421864,64,648,16124,-290,-17,-228,35.73,118,1646,0.00,31.94
4460046924,224,644,16180,-305,-24,-201,35.78,1497,604,0.00,31.94
4460080215,260,600,16188,-309,-15,-221,35.78,1524,586,0.00,31.94
4460705307,224,508,15992,-305,-44,-187,35.82,591,543,0.51,31.94
4460739794,160,408,16032,-322,-29,-234,35.73,563,544,0.00,31.94
4461364873,236,696,16160,-316,-24,-223,35.78,541,160,0.00,31.94
4461398135,220,620,16216,-328,-10,-226,35.73,500,107,0.00,31.94
4462023216,124,648,15964,-316,-16,-225,35.78,44,1556,0.00,31.94
4462056487,184,716,16132,-299,-38,-221,35.73,117,1560,0.00,31.94
4462681584,160,736,16200,-296,-18,-228,35.78,1606,559,0.00,31.94
4462716056,156,640,16200,-311,-54,-215,35.78,1730,562,0.00,31.94
4463341119,212,732,16120,-319,-28,-222,35.82,585,621,0.38,31.94
4463374418,300,664,16076,-309,-23,-226,35.82,626,560,0.00,31.94
4463999502,260,620,16068,-302,-34,-231,35.82,423,82,1.52,31.94
4464032776,192,716,16128,-293,-24,-217,35.82,309,92,0.00,31.94
4464657841,284,672,15916,-319,-33,-202,35.78,97,1517,0.00,31.94
4464692323,256,608,16128,-309,-39,-218,35.82,103,1552,0.00,31.94
